id,name,discount,city,address,category,subcategory,description,detail_url
6664,2CHEF,3,ראשון לציון,"אברבנאל 4,",אטרקציות ופנאי,,"​​​​​קונדיטוריה - אירועים ליחידים ולסיטונאות, עוגות, עוגיות, מאפי",https://be-plus.co.il/component/crm/product/6664
11810,2Monkeys,3.5,אשדוד,קיבוץ גלויות 26,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"מסעדת איטלקית צמחונית טבעונית, סלטים, פסטות, מקרונים, לחם שום, פוקאצ'ו",https://be-plus.co.il/component/crm/product/11810
8970,4 princesses,5,שפרעם,מחמוד דרוויש 1,אופנה,,"בוטיק לבגדי נשים, ספורט אלגנט, ייבוא מחו""ל, אקססוריז, תכשיטים, תיקים,",https://be-plus.co.il/component/crm/product/8970
17191,4 seasons מעדניית בוטיק,3,נתניה,ניצה 8,"מזון, מינימרקטים וסופרמרקטים",מעדניות,"מעדניה שיש בה הכל וגם מיני מרקט הכל כשר, פירות ברמה הכי גבוהה, גבינות",https://be-plus.co.il/component/crm/product/17191
13574,4POINT,3.5,פוריידיס,כביש 4,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"מסעדת חומוס פול וכל מה שיש מסביב- מאפים, כריכים, מוצרי מזון ועוד. לא כ",https://be-plus.co.il/component/crm/product/13574
13547,4pets,3.5,פוריידיס,כביש ראשי 4,צרכנות,,"מזון וציוד לבעלי חיים, תרופות לבעלי חיים ע""י וטרינר, אביזרים וצעצועים.",https://be-plus.co.il/component/crm/product/13547
16406,4x4U,7.5,קרית מלאכי,חלוצי התעשיה 24,מוסכים ושירותי רכב,אביזרים וחלקי חילוף,"חדש במועדון 4x4U הקומנדו של הגגונים, רכבי השטח והטנדרים, מעניק לחברי ה",https://be-plus.co.il/component/crm/product/16406
11836,7 fox פרחים,3.5,אבן יהודה,המייסדים 73,לבית ולגן,,"שזירת פרחים אומנותית,סידורי פרחים,זרים,עציצים,זרי כלה,עיצוב מרפסות,עיצ",https://be-plus.co.il/component/crm/product/11836
12336,7 winds,3.5,מגידו,צומת מגידו,ספורט,,"טיסות, חוויות במצנחי רחיפה בצפון ובמרכז הארץ וקורסים למצנחי רחיפה.",https://be-plus.co.il/component/crm/product/12336
6893,7 הפקות ואירועים,3,באר שבע,"הרצל 72, עיר עתיקה",אופנה,,"בלוני הליום זוהרים לחתונה ואטרקציות, בלוני לד, מתנות לימי הולדת, ציוד",https://be-plus.co.il/component/crm/product/6893
15048,7 חנויות,5,בני ברק,יהושע 31,אופנה,הלבשה לכל המשפחה,"הנעלה, הלבשה למשפחה, כלי בית, יודאיקה, מתנות, אקססוריז, פאות,איפור ובי",https://be-plus.co.il/component/crm/product/15048
17247,770תכשיטים,3,חיפה,הרצל 42,אופנה,תכשיטים ושעונים,תכשיטים מהממים מכל הסוגים,https://be-plus.co.il/component/crm/product/17247
17846,8 אינפרינט,3.5,קרית ביאליק,חרושת 20,בתי דפוס והדפסות,בתי דפוס,"מיתוג פרסום, שיווק אירועים, מיתוג בתים, חדרי שינה וחדרי ילדים, מיתוג ק",https://be-plus.co.il/component/crm/product/17846
16980,8200pro,5,online,,"לימודים, חוגים וייעוץ",ייעוץ והכשרה,"חברת לימודים והכנה למיונים הטכנולוגים של צה""ל, ובניית קריירה להייטק.",https://be-plus.co.il/component/crm/product/16980
16393,99ways,4.5,CITY2,0,צרכנות,"מתנות,יצירה וכלי בית","משחקי שאלות, שייקחו אתכם לחוויה מקרבת ומשעשעת עם האנשים שאתם הכי אוהבי",https://be-plus.co.il/component/crm/product/16393
16917,9to5 eyewear,3.5,תל אביב - יפו,דיזנגוף 152,אופטיקה ומכשירי שמיעה,משקפיים ועדשות מגע,"כל מסגרת נבחרה ועוצבה בקפידה, מתוך תשוקה עזה לאיכות, נוחות ועיצוב מוקפ",https://be-plus.co.il/component/crm/product/16917
16919,9to5 eyewear,3.5,תל אביב - יפו,פנחס בן יאיר 16,אופטיקה ומכשירי שמיעה,משקפיים ועדשות מגע,"כל מסגרת נבחרה ועוצבה בקפידה, מתוך תשוקה עזה לאיכות, נוחות ועיצוב מוקפ",https://be-plus.co.il/component/crm/product/16919
18012,9to5 eyewear,3.5,ראשון לציון,סחרוב דוד 21,אופטיקה ומכשירי שמיעה,משקפיים ועדשות מגע,"כל מסגרת נבחרה ועוצבה בקפידה, מתוך תשוקה עזה לאיכות, נוחות ועיצוב מוקפ",https://be-plus.co.il/component/crm/product/18012
18190,A Asulin,5,קרית עקרון,נווה אשכול 21,לבית ולגן,טקסטיל ואקססוריז לבית,"טקסטיל, מצעים, מפות שולחן, מגבות פנים וגוף, בעיצוב מיוחד, מותאם לכל המ",https://be-plus.co.il/component/crm/product/18190
14732,A s clean,3,חולון,העוגן 17,לבית ולגן,נותני שירותים לבית,"ניקוי ספות, ריפודים, שרות ניקיון, ניקוי רעלים,ניקוי ריפודים רכב, ניקוי",https://be-plus.co.il/component/crm/product/14732
16629,A sip of wine - חנות יין,18,לקוח אונליין,לקוח אונליין,"מזון, מינימרקטים וסופרמרקטים",חנויות נוחות/ קיוסקים,"חברים טובים, אוכל טוב ויין טוב - לא צריך יותר מזה בשביל לסיים את השבוע",https://be-plus.co.il/component/crm/product/16629
13589,A&m מותגים לילדים,5,שפרעם,כביש ראשי,אופנה,,"בגדי תינוקות, בגדי ילדים, הלבשה תחתונה, נעליים, מתנות ליולדת ובגדי מות",https://be-plus.co.il/component/crm/product/13589
12161,A&t fashion,3.5,שפרעם,ארכבישוף חגאר,אופנה,,"בגדי נשים, בגדי מעצבים, בגדי יום יום, אקססוריז, חגורות, תיקים, ארנקים,",https://be-plus.co.il/component/crm/product/12161
11331,A.A STUDIO,3.5,אשקלון,הרצל 5,כללי,,מגוון רחב של הדפסות ברמה הכי גבוהה בעיצוב.,https://be-plus.co.il/component/crm/product/11331
9291,A.G,5,ראשון לציון,חיל רגלים 4\25,"טיפוח, קוסמטיקה ועיצוב שיער",,"טיפולי קוסמטיקה, אקנה, צלקות, טיפולים לגברים, איפור קבוע, טיפולי זוהר,",https://be-plus.co.il/component/crm/product/9291
16003,A.M care,3.5,נתניה,גבורי ישראל 5,רפואה,רפואה משלימה,טיפולי רפואה משלימה,https://be-plus.co.il/component/crm/product/16003
12985,A.M.A kids & baby,5,online,"כניסה ראשית, ליד השוק",צרכנות,,"בגדי ילדים ותינוקות לגיל הרך, ביגוד, הנעלה ומוצרי תינוקות.",https://be-plus.co.il/component/crm/product/12985
13663,A.S Cosmetics Boutique,4,תל אביב - יפו,עליית הנוער 14,"טיפוח, קוסמטיקה ועיצוב שיער",,"הסרת שיער בלייזר, טיפולי פנים ומוצרי קוסמטיקה.",https://be-plus.co.il/component/crm/product/13663
15058,A.l שטיפה ידנית,3.5,ראשון לציון,סחרוב 21,מוסכים ושירותי רכב,אביזרים וחלקי חילוף,שטיפה ידנית מקצועית,https://be-plus.co.il/component/crm/product/15058
4676,A4,3,אשקלון,אלי כהן 21/44,בתי דפוס והדפסות,דפוס דיגיטלי,"הדפסות וצילום מסמכים, למינציה, שירותי פקס, קאפות, מגנטים לאירועים, הדפ",https://be-plus.co.il/component/crm/product/4676
11342,AB JEWELRY,7,נתניה,סמילנסקי 9,אופנה,,"תכשיטי יהלומים ואבני חן, תכשיטי זהב בעיצובים מיוחדים, תכשיטי כסף, שעונ",https://be-plus.co.il/component/crm/product/11342
13239,AD - ALLEN DENT,5,טירה,כביש ראשי,צרכנות,,"מרפאת שיניים, כל טיפולי השיניים, השתלות, טיפולים משמרים, הלבנת שיניים,",https://be-plus.co.il/component/crm/product/13239
14915,ADAMANT דלתות פנים לכניסה,2,אלעד,רבי יהודה הנשיא 69,לבית ולגן,דלתות,"דלתות, דלתות פנים, דלתות כניסה, דלתות פולימר, דלתות צבע בתנור ועוד",https://be-plus.co.il/component/crm/product/14915
4397,ADARI'S,3,ראשון לציון,סחרוב 21,לבית ולגן,,"מתנות ואקססורייז לבית, זרי פרחי סבון מיוחדים, מבשמי כביסה, מוצרי כביסה",https://be-plus.co.il/component/crm/product/4397
5732,ADI בלבן,3,באר שבע,הרצל 91,אופנה,,"בית אופנה לכלות, שמלות כלה בעיצוב אישי, גם למגזר החרדי.",https://be-plus.co.il/component/crm/product/5732
12906,ADIVA,4,ראשון לציון,אוסישקין 34,אופנה,,שמלות כלה וערב להשכרה.,https://be-plus.co.il/component/crm/product/12906
15832,ALAMEER,3.5,אום אל-פחם,אלמרמאלה 0,"טיפוח, קוסמטיקה ועיצוב שיער",חנויות קוסמטיקה,יבוא שיווק ומכירה של מוצרי שיער מקצועיים ממיטב החברות המובילות בעולם.,https://be-plus.co.il/component/crm/product/15832
4816,ALDO גני תקווה,5,גני תקווה,"הכרמל 20, מרכז הבמה","מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"גלידה במשקל, קרפ צרפתי, פרוזן יוגורט, וופל בלגי, יוגורט, שתיה חמה, שתי",https://be-plus.co.il/component/crm/product/4816
12894,ALFA DENT,3.5,שדרות,כיכר הנאשי 1,צרכנות,,"טיפולי שיניים הכוללים- שתלים, שיקום, אורתודנטיה, רפואת ילדים והסרת אבנ",https://be-plus.co.il/component/crm/product/12894
11731,ALFREDO,7,זרזיר,כביש ראשי בכיכר,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"אוכל איטלקי- פסטות, פיצות, רביולי, המבורגר, בשרים על האש, שתייה קלה וס",https://be-plus.co.il/component/crm/product/11731
13373,ALKARIA מינימרקט,2,כאבול,כביש ראשי,צרכנות,,"מינימרק- מאפיה, שתיה קרה, פיצוחים, חטיפים, מוצרי מכולת, עוגות, עוגיות,",https://be-plus.co.il/component/crm/product/13373
13250,ALKBBJI,3.5,שפרעם,כאמל גומבלט 200,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"מסעדת בשרים על האש, בשרים מעושנים, קינוחים, שתייה חמה, שתייה קלה, נרגי",https://be-plus.co.il/component/crm/product/13250
14453,ALL IN ריהוט גן,7,חולון,הבנאי 34,לבית ולגן,,"ריהוט גן, מערכות ישיבה לגינה ולמרפסת, ערסלים, צמחיה מלאכותית וריהוט גן",https://be-plus.co.il/component/crm/product/14453
13601,ALMA פדיקור טיפולי שיקומי,3.5,יבנה,הסירה 5,"טיפוח, קוסמטיקה ועיצוב שיער",,"פדיקור, טיפול בציפורן חודרנית, יבלות, עור יבש, מומחית לחולי סכרת, מסאז",https://be-plus.co.il/component/crm/product/13601
8505,ALVERO,3.5,חולון,סוקולוב 35,אופנה,,שמלות כלה וערב לנשים וילדות בעיצוב אישי ואקססוריס.,https://be-plus.co.il/component/crm/product/8505
6391,AM PHONE,3,מועצה אזורית מטה בנימין,מרכז מסחרי אזור תעשייה מטה בנימין,"מחשבים, סלולר וצילום",סלולר,מעבדת תיקונים ורשת חנויות ומעבדות סלולר- מגוון רחב של מכשירים מתקדמים,https://be-plus.co.il/component/crm/product/6391
4393,AMARIS,6,ראשון לציון,נוח מוזס 6,לבית ולגן,,"הזמנת וילונות בעיצוב אישי, מבחר גדול של בדים ומוצרי הצללה, ייבוא מאיטל",https://be-plus.co.il/component/crm/product/4393
15183,AMBERJACK FISH,4,נתניה,שטמפפר 19,"מזון, מינימרקטים וסופרמרקטים",מעדניות,"מבחר של דגי ים ודגי בריכה, לצד סלטים איכותיים, מעושנים, מוצרים נלווים,",https://be-plus.co.il/component/crm/product/15183
19421,AMERICLEAN PROFESSIONAL CLEANING SERVICE...,10,רעננה,אחוזה 8,"מכבסות, שירותי גיהוץ וניקיון",ניקיון,"אמריקלין – מומחים לניקוי יסודי של ספות, שטיחים, מזרונים וריפודי רכב! א",https://be-plus.co.il/component/crm/product/19421
9421,AMG hair design,4,תל אביב - יפו,קרליבך 18,"טיפוח, קוסמטיקה ועיצוב שיער",,"תספורות גברים\ נשים, צבע לשיער, פסים, גוונים, החלקות ותוספות שיער.",https://be-plus.co.il/component/crm/product/9421
17897,AMITA FASHION מטפחות ראש,3.5,נתיבות,"ד""ר סמלו יוסף 43",אופנה,הלבשת נשים,"הי, אני עמית, בעלת המותג ""עמית"" מאז ומתמיד אהבתי אופנה וסטיילינג",https://be-plus.co.il/component/crm/product/17897
13707,AMOR BY NADA,8.5,חורפיש,כביש ראשי 89,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"ארוחות בוקר עשירות, פסטות מסוגים שונים, סוגי דגים שונים בתנור או בטיגו",https://be-plus.co.il/component/crm/product/13707
4933,ANASTASIA & DARIA,4,תל אביב - יפו,אלי תבון 9,"טיפוח, קוסמטיקה ועיצוב שיער",,"טיפול בצללויט והצרת היקפים, טיפולי פנים כולל ניקוי- המסת תאים, החדרת ל",https://be-plus.co.il/component/crm/product/4933
11626,ANGEL,3,חולון,סוקולוב 64,אופנה,,"אופנת גברים, נשים וילדים.",https://be-plus.co.il/component/crm/product/11626
5392,ANGEL STYLE & BEAUTY,3,רמת גן,נגבה 42,"טיפוח, קוסמטיקה ועיצוב שיער",,"עיצוב שיער, פדיקור, מניקור, לק ג'ל, הסרת שיער, מקלחון שיזוף, איפור ערב",https://be-plus.co.il/component/crm/product/5392
9402,ANGUS EVENTS,3.5,נס ציונה,פנחס ספיר 7,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"ארוחות עסקיות צהריים, אירועים עד 120 איש צהריים וערב. כשר.",https://be-plus.co.il/component/crm/product/9402
7136,ANIBRU עולם חדש של ספורט,5,בית אריה,פריחת השקד 46,ספורט,,"אניברו - חברה המייבאת מכשירי כושר ביתיים ואביזרים נלווים, את המכשירים",https://be-plus.co.il/component/crm/product/7136
9349,ANITA VINTAG,3,תל אביב - יפו,שדרות וושינגטון 12,אופנה,,"מוצרי וינטג', ביגוד , נעליים, רהיטים, תיקים , תכשיטים ועוד..",https://be-plus.co.il/component/crm/product/9349
4757,ANNA COLLECTION אנה קולקשיין,4,בת ים,בלפור 155,אופנה,,"הלבשה תחתונה של חברת PINK, בגדי ספורט, פיג'מות, בגדים של חברת GRASS, ו",https://be-plus.co.il/component/crm/product/4757
13887,ANNE KIDS,3.5,רמלה,שושנה דמארי 16,אופנה,,"בגדי ילדים וסטייל, מותגים, נעליים, מתנות ליולדת ובגדי תינוקות.סניף:החס",https://be-plus.co.il/component/crm/product/13887
4729,ANSHEN PHONE,3,ראשון לציון,הרצל 29,"מחשבים, סלולר וצילום",,"מעבדת תיקון מכשירי סלולר, ומחשבים ניידים. במקום אביזרים לסלולר.",https://be-plus.co.il/component/crm/product/4729
4416,ANY PRINT,7,ראשון לציון,"ההגנה 34, א.ת חדש",לבית ולגן,,"חברה המתמחה בהדפסה על זכוכית, חיפוי קירות למטבחים, דלתות זכוכית מעוצבו",https://be-plus.co.il/component/crm/product/4416
18503,AP Fashion,8.5,שדרות,יוספטל 75,אופנה,הלבשת גברים,חנות אופנתית לגברים ברמה הגבוהה ביותר! כוללת ביגוד אקססוריז נעליים והל,https://be-plus.co.il/component/crm/product/18503
17786,AQUA GEEK,3.5,נס ציונה,האיזמל 4,צרכנות,מזון וציוד לבעלי חיים,"מתמחה בתכנון, הקמה, עיצוב ואחזקה של מערכות אקווטיות: אקווריומי מים מתו",https://be-plus.co.il/component/crm/product/17786
13354,ARCOSTEEL FUEGO,6.5,מאג'ר,אל נחיל,לבית ולגן,,"חנות כלי מטבח של ארקוסטיל הגדולה בצפון, למטבח הפרטי והמוסדי.",https://be-plus.co.il/component/crm/product/13354
13542,ARIA,3.5,ראשון לציון,סחרוב 5,ספורט,,אימונים אישיים,https://be-plus.co.il/component/crm/product/13542
19093,ARIA Jewelry,6,פתח תקווה,עזרא גבאי 3,אופנה,תכשיטים ושעונים,"תכשיטים לנשים, צמידים, שרשראות, טבעות, עגילים, טבעות אירוסין, יהלומים,",https://be-plus.co.il/component/crm/product/19093
4705,ARIEL HAIR DESIGN,6,רעננה,אחוזה 77,"טיפוח, קוסמטיקה ועיצוב שיער",,עיצוב שיער ברמה אישית ואומנותית.,https://be-plus.co.il/component/crm/product/4705
12000,ARINEL,3.5,בני ברק,נחמיה 28,אופנה,,"כובעי יוקרה לנשים, מבחר וגם בהתאמה אישית למגזרים השונים, התמחות בכל הס",https://be-plus.co.il/component/crm/product/12000
19056,ARO cafe,5,רמת גן,ארלוזורוב 1,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",בתי קפה,מאפים טריים יום יום פיצות איטלקיות כריכים טריים סלטים עוגות עוגיות מיצ,https://be-plus.co.il/component/crm/product/19056
4406,ART CLASS,6,ראשון לציון,רוטשילד 10,ספורט,,"חוגי רישום וציור מגיל 4, סדנאות ציור למבוגרים, קורס צילום.",https://be-plus.co.il/component/crm/product/4406
4921,ART OF BEAUTY אסתר,6,יבנה,דואני 44,"טיפוח, קוסמטיקה ועיצוב שיער",,"בניית צפורניים, לק ג'ל, פדיקור, מניקור, עיצוב ושיקום גבות, איפור ערב,",https://be-plus.co.il/component/crm/product/4921
9122,ART PAINT,2.5,נתיבות,האומן 20,בתי דפוס והדפסות,,"מבצעים את כל סוגי הדפוס, השילוט והעתקות אור, חותמות, מעטפות, כרטיסי בי",https://be-plus.co.il/component/crm/product/9122
4585,ART STONE,3,רעננה,החרושת 46 א.ת,לבית ולגן,,"משטחי אבן קיסר ושיש למטבח ולאמבט, כלים סניטריים, כיורים, ברזים, חיפויי",https://be-plus.co.il/component/crm/product/4585
18635,ARTEX HOME,10,בני ברק,רבי עקיבא 112,לבית ולגן,טקסטיל ואקססוריז לבית,"ארטקס הום הוא מותג טקסטיל חדשני ויוקרתי, שגדל מתוך מפעל ייצור קטן להיו",https://be-plus.co.il/component/crm/product/18635
18636,ARTEX HOME,10,אלעד,רבי יהודה הנשיא 100,לבית ולגן,טקסטיל ואקססוריז לבית,"ארטקס הום הוא מותג טקסטיל חדשני ויוקרתי, שגדל מתוך מפעל ייצור קטן להיו",https://be-plus.co.il/component/crm/product/18636
18637,ARTEX HOME,10,ירושלים,אגסי שמעון 54,לבית ולגן,טקסטיל ואקססוריז לבית,"ארטקס הום הוא מותג טקסטיל חדשני ויוקרתי, שגדל מתוך מפעל ייצור קטן להיו",https://be-plus.co.il/component/crm/product/18637
18638,ARTEX HOME,10,online,,לבית ולגן,טקסטיל ואקססוריז לבית,"ארטקס הום הוא מותג טקסטיל חדשני ויוקרתי, שגדל מתוך מפעל ייצור קטן להיו",https://be-plus.co.il/component/crm/product/18638
12139,AS functional training,4,הרצליה,האילנות 35,ספורט,,סטודיו בוטיק לאימונים פונקציונליים. אישי וקבוצות קטנות.,https://be-plus.co.il/component/crm/product/12139
5893,ASAF PEREZ,8.5,אשקלון,העבודה 5,"טיפוח, קוסמטיקה ועיצוב שיער",,"מעצב שיער נשים מומחה בהחלקות והארכות שיער, תסרוקות ערב וכלה",https://be-plus.co.il/component/crm/product/5893
17955,ASHER DRINKS,3,רחובות,בנימין 14,צרכנות,חנויות אלכוהול וטבק,חנות למשקאות ובר יין,https://be-plus.co.il/component/crm/product/17955
18097,ASK Q טוב ששאלת,5,online,,"לימודים, חוגים וייעוץ",חוגים והעשרה,"הכל התחיל בדייט. קיץ 2021, הקורונה באה והלכה, ואני - רווקה תל אביבית,",https://be-plus.co.il/component/crm/product/18097
11421,ASTRO,5.5,פקיעין בוקייעה,864,אופנה,,"חנות אופנת גברים מודרנית וייחודית. חליפות חתן, אופנה לגברים מהמותגים ה",https://be-plus.co.il/component/crm/product/11421
15796,ATIA – Clocks & Design,10,געש,,כללי,,ברוכים הבאים לחנות היבואן הגדולה והמקצועית בישראל לשעוני קיר של מע,https://be-plus.co.il/component/crm/product/15796
4938,ATOS JEANS,6,רמת השרון,אוסישקין 24,אופנה,,"ייבוא ביגוד מצרפת ואיטליה, חולצות מכופתרות, טישרטים, ג'ינסים, נעליים.",https://be-plus.co.il/component/crm/product/4938
12505,AUTO SERVICE,5,חדרה,"פרידלנדר 12 (אזה""ת)",מוסכים ושירותי רכב,,"מוסך שירות מכונאות לכל סוגי הרכבים דיזל ובנזין, חשמל, דיאגנוסטיקה, כיו",https://be-plus.co.il/component/crm/product/12505
18258,AV Stars,10,מודיעין-מכבים-רעות,שדרות דם המכבים 28,"טיפוח, קוסמטיקה ועיצוב שיער",מספרות ועיצוב שיער,"מספרת גברים וילדים, ספרים מהמומחים בארץ, מוצרי שיער, קורס ספרות גברים",https://be-plus.co.il/component/crm/product/18258
19062,AVI ABRAMOV HAIR & BEAUTY HOUSE,4,יהוד-מונוסון,חתוכה סעדיה 44,"טיפוח, קוסמטיקה ועיצוב שיער",מספרות ועיצוב שיער,אן תוכלו ליהנות משירותי עיצוב שיער Avi abramov hair&beauty- ברוכים,https://be-plus.co.il/component/crm/product/19062
4679,AVI AVRHAM,5,חולון,ההסתדרות 185,"טיפוח, קוסמטיקה ועיצוב שיער",,"החלקות, תוספות שיער, גוונים, אומברה, תספורות, מחלקת קוסמטיקה.",https://be-plus.co.il/component/crm/product/4679
4473,AVI LEVI HAIR DESIGN,6,בת ים,בן גוריון 65 טיילת,"טיפוח, קוסמטיקה ועיצוב שיער",,עיצוב שיער והחלקות.,https://be-plus.co.il/component/crm/product/4473
10545,AVIAT FLOWERS,3.5,חולון,ההסתדרות 193,צרכנות,,"מעצבת אירועים, פרחים, בלונים. אביאת דיזיין- מעצב אירועים חתונות, בת/ב",https://be-plus.co.il/component/crm/product/10545
13377,AYLA BABY,5,עין נקובא,האפרסק 5,צרכנות,,חנות מתמחה במוצרי תינוקות.,https://be-plus.co.il/component/crm/product/13377
16156,Aar mhran bra,3.5,חיפה,העצמאות 72,אופנה,הלבשה לכל המשפחה,"הלבשת גברים, יום יום, ג'ינסים, נעלים, כובעים",https://be-plus.co.il/component/crm/product/16156
15686,Abadiz,8.5,יהוד-מונוסון,חתוכה סעדיה 46,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",אוכל מהיר,טוסט נקניק סנדוויצ'ים נקניקיות ושפע מאכלים,https://be-plus.co.il/component/crm/product/15686
16201,Abu kayed burger בורגר,3.5,משהד,סלאח אל דין 1,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",מסעדות בשריות,"מסעדה, המבוגרים, בורגר, שניצל, חזה עוף, כל סוגי הבשר בלאפה, בלחמניה, ש",https://be-plus.co.il/component/crm/product/16201
15926,Adar bakery,3.5,ראשון לציון,לישנסקי יוסף 20,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",קונדיטוריות ובתי מאפה,"מאפים חמים, כריכים, סלטים, מתוקים, קינוחים",https://be-plus.co.il/component/crm/product/15926
9580,Adis Beauty&nail art,3.5,ראשון לציון,מבצע קדש 10,"טיפוח, קוסמטיקה ועיצוב שיער",,"פדיקור, מניקור, לק ג'ל, בניית ציפורניים והסרת שיער בשעווה.",https://be-plus.co.il/component/crm/product/9580
14510,Adlin,7,מודיעין-מכבים-רעות,לב העיר 2,ספורט,הלבשה וציוד ספורט,מותג אופנת האקטיב ADLIN מציע פריטים שנעים איתך מהאימון לסידורים ולשעות,https://be-plus.co.il/component/crm/product/14510
17509,Adon kison,3,ראשון לציון,מזל אליעזר 9,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",מסעדות בשריות,מסעדת כיסונים ובר משקאות – חוויה שלא שוכחים ברוכים הבאים למסעדה שבה,https://be-plus.co.il/component/crm/product/17509
16007,Aharon,3,ראשון לציון,סחרוב דוד 19,אטרקציות ופנאי,ספא,"עיסוי שוודי, כוסות רוח, עיסוי רפואי, נשים בהריון, רפלקסולוגיה, הגעה עד",https://be-plus.co.il/component/crm/product/16007
13842,Ahla Dive Center אחלה מועדון צלילה,3.5,אילת,"הפלמ""ח 1",כללי,,פעילות צלילה,https://be-plus.co.il/component/crm/product/13842
18511,Akk wellness&medical massage,10,נס ציונה,ראובן 2,פנאי,- ספא,"ברוכים הבאים ל-AKK Wellness & Medical Massage – פנקו את גופכם, למע",https://be-plus.co.il/component/crm/product/18511
13800,Aldo,5,באקה אל-גרביה,כביש ראשי אלקדס,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"כל סוגי הגלידות, מאפים, קינוחים עם קרם פנקייק, אפיית עוגיות, שתיה קרה,",https://be-plus.co.il/component/crm/product/13800
15818,Aldo,3.5,נצרת,תופיק זיאד 50,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",בתי קפה,גלידריה שתיה קרה שתיה חמה מקומות ישיבה פנקיק וופל בלגי יוגורטים מיצים,https://be-plus.co.il/component/crm/product/15818
